TPSA,LogP,CSP3,MW,HBA,Num_Rot_Bond,Num_Aromatic_Rings,HBD,Num_Rings,Molecule_Name
125.35000000000002,1.734399999999999,0.42857142857142855,403.40700000000015,8,5,1,2,3,CMNPD20908
165.47999999999996,3.140840000000006,0.27586206896551724,536.5330000000002,10,6,3,2,3,CMNPD29076
246.06999999999996,0.1902199999999995,0.25,633.5380000000006,14,5,2,4,5,CMNPD28910
170.15999999999997,3.8444000000000034,0.4090909090909091,516.5900000000003,10,13,1,1,1,CMNPD25215
147.23999999999998,3.707600000000002,0.3333333333333333,512.5590000000003,9,6,1,3,2,CMNPD9306
167.46999999999997,2.6800000000000015,0.3333333333333333,528.5580000000002,10,7,1,4,2,CMNPD9992
86.66,6.919400000000007,0.46153846153846156,461.64400000000035,5,13,1,1,1,CMNPD21360
130.38,1.1497999999999997,0.35294117647058826,421.3229999999999,4,9,3,5,3,CMNPD21778
116.12000000000002,2.7193000000000014,0.3,373.3810000000001,7,3,2,2,2,CMNPD29081
162.64999999999998,3.464420000000007,0.25,523.5140000000002,10,6,3,3,3,CMNPD29075
162.64999999999998,4.08126000000001,0.3,551.5680000000003,10,6,3,3,3,CMNPD29085
218.52999999999997,2.4008000000000003,0.2727272727272727,740.4300000000002,13,15,2,2,2,CMNPD11195
102.29000000000002,2.660800000000001,0.42857142857142855,388.4160000000001,7,5,1,2,3,CMNPD20907
125.35000000000002,2.04282,0.45454545454545453,417.4340000000002,8,5,1,2,3,CMNPD20912
176.48,2.96708,0.25,522.5060000000002,10,5,2,3,3,CMNPD29083
151.82,4.039900000000002,0.08,530.386,4,4,6,5,6,CMNPD5487
150.57,4.620800000000004,0.08,529.378,5,4,6,5,6,CMNPD26818
185.70999999999995,1.5999000000000003,0.4444444444444444,532.5420000000003,11,12,2,3,2,CMNPD30597
165.47999999999996,2.8324200000000053,0.25,522.5060000000003,10,6,3,2,3,CMNPD29079
90.15,5.372700000000009,0.6923076923076923,432.60100000000017,5,5,1,4,3,CMNPD31193
146.64,1.2998199999999993,0.3157894736842105,480.271,8,4,3,4,4,CMNPD24242
56.510000000000005,7.678500000000007,0.5555555555555556,428.6130000000003,4,14,1,0,1,CMNPD14343
143.75,2.867300000000001,0.3333333333333333,512.5590000000003,9,6,1,3,2,CMNPD9305
189.11999999999995,-0.4054,0.21052631578947367,442.38800000000003,11,6,3,4,3,CMNPD25936
145.14000000000001,5.1630000000000065,0.64,623.5770000000002,12,5,2,2,3,CMNPD26400
147.79999999999998,3.2440000000000024,0.6285714285714286,656.7730000000005,12,9,1,2,5,CMNPD11475
130.36,6.21960000000001,0.4473684210526316,634.8100000000004,8,8,1,3,2,CMNPD29996
121.75999999999999,5.663700000000003,0.08695652173913043,585.3290000000001,4,6,5,4,5,CMNPD27958
121,3.2912,0.08695652173913043,507.44100000000003,3,6,5,5,5,CMNPD27959
167.47,2.6800000000000006,0.3333333333333333,528.5580000000002,10,7,1,4,2,CMNPD9993
170.83999999999997,3.487400000000001,0.2,547.393,6,2,5,6,7,CMNPD11166
142.39,0.0028000000000000247,0.4090909090909091,431.44100000000014,8,7,1,4,3,CMNPD27546
132.48999999999998,5.089700000000004,0.7,574.7640000000005,7,13,1,1,4,CMNPD19251
74.97000000000001,4.231500000000004,0.42857142857142855,374.4330000000001,6,9,1,0,2,CMNPD1570
215.62,2.0465999999999998,0.2727272727272727,692.3640000000001,12,13,2,4,2,CMNPD12714
123.68,0.6116999999999995,0.5555555555555556,336.408,6,9,1,3,1,CMNPD19736
71.19,4.306900000000002,0.391304347826087,382.5040000000001,3,9,2,2,2,CMNPD28802
132.78,1.0270999999999986,0.3,371.3650000000001,7,7,2,1,2,CMNPD26201
69.92,3.211900000000003,0.5555555555555556,306.40199999999993,4,8,1,3,2,CMNPD30812
167.46999999999997,2.6800000000000015,0.3333333333333333,528.5580000000002,10,7,1,4,2,CMNPD9994
246.06999999999996,0.4456200000000013,0.25,633.5380000000007,14,5,3,4,5,CMNPD28909
136.43,1.9719000000000015,0.14814814814814814,488.47200000000026,8,7,3,2,4,CMNPD22599
124.91,4.703000000000004,0.6086956521739131,545.0790000000003,11,5,2,1,3,CMNPD22288
125.37000000000002,3.9894700000000016,0.43478260869565216,446.5690000000002,6,10,1,2,2,CMNPD24822
162.64999999999998,3.464420000000007,0.25,523.5140000000002,10,6,3,3,3,CMNPD29073
